,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,cluster,song.0,song.1,song.2,song.3,song.4,song.5,song.6,song.7,song.8,song.9,X,Y
1823,0JjLP9Wxv0kXwGCLiiVdMm,0.475,0.365,0.289,6.68E-06,0.0805,0.761879813,0,0.0378,0.755643401,0.335,1,5LTgZiH8bAPVxxEzPRYITs,5Ss6DqCldgTmIo6BekVOJT,3jq1RpStaB1YGyN3rRZGca,7mHRoiESmvHd4UIDr3a1xq,2FVwknnpHnhReNADKlQcDl,1Mza2sr6tPhy6jjI3HB9fW,0DcGiCDxIoImaWyikdUuZT,5uIYONgpUQ7t0v7D6CTMBt,1OhpRGvCRDTE64PWJzpDZu,6lzLjIOyWTyTJvk0jraYee,0.563044473,0.53243781
1824,5WpAoK1u49GziJTqkzheL5,0.00702,0.729,0.572,0.116,0.18,0.385759941,0,0.0339,0.610655856,0.852,1,6ukvsBzq4d1vBsAUmz7ZVt,70AMsxKGo17uVepDtcTAUL,1qBxAo3bNoY5extpkA5vBI,4S6eWUThJLYbw1UqRbzSaM,3FdsBa4h5VcDDKuEiEoMzL,3H3uzC93i5XXChUev0wHI8,2nkhGTXnKCe1ZtttBZaeyx,1hGy2eLcmC8eKx7qr1tOqx,20iTeSpUmLkthcNqkuy32e,7w87IxuO7BDcJ3YUqCyMTT,0.629517428,-0.110602155
1825,2xmrfQpmS2iJExTlklLoAL,0.245,0.638,0.658,3.77E-06,0.0919,0.331010636,1,0.0456,0.505313982,0.33,2,0BNNxZfJOS59Bip2dQGk2f,5AdnkoZJuRJCYqYBIzSqFb,3e9HZxeyfWwjeyPAMmWSSQ,4ilNy4QN9MKeNifDxT6za9,1qcouv0uGRX5ZEdXsUIJAY,68vxG1i6RSmrsY9mRdqDgG,7tsHqxfepei1AdLjy93XIv,2rPE9A1vEgShuZxxzR2tZH,0W363qrIc4GwuwOqa0WAEO,4VUwkH455At9kENOfzTqmF,-0.382179829,-0.047171007
1826,7Cw97917dvg5xm6XMAA4Y2,0.0455,0.792,0.777,5.34E-05,0.293,0.230628176,0,0.0454,0.659078012,0.696,1,7CMfLvTBxPE38oGk2FRmsu,3E5XrOtqMAs7p2wKhwgOjf,58q2HKrzhC3ozto2nDdN4z,58F6iKkYdIccktJ8i8BuQQ,4miiqu2dxOhBguQDHtqssH,3dLpsJE4T1xIt4FGyTzSun,2hloaUoRonYssMuqLCBLTX,6MDjeiUWPPgEwLtiBrr9he,0bf2XtxP5RsUYqWdsjk58H,1SNipdzMky2C2LwvoVRzsv,0.642045169,-0.240570241
1827,2L93hpsnJ8scBHIQFZzh1b,0.0234,0.506,0.823,0.000916,0.303,0.276208938,1,0.0424,0.644189245,0.405,2,4b4KcovePX8Ke2cLIQTLM0,11cDEev79fPKi6uJCjUhu8,6Lqqc9jcrXUSxiDA5jle1j,3zU9rdflI65tK4dkkNSp77,65n4DkUhKUO4tECIabKwy1,4omisSlTk6Dsq2iQD7MA07,4YX7OBp0yoMwC6eZNNg5ky,1xHOhfFSFPzu1XT99RyjHK,2WuDGjp1Ydst3xHHLKO5NW,1k18nxjYj8R5iz82Ap7GEY,-0.361874172,-0.337857771
1828,48wSJ6NhMFYYB6LjdnPNjM,0.953,0.572,0.231,3.88E-06,0.111,0.330905852,0,0.0334,0.465172981,0.332,1,6jApoxmm4K0yhJlSBONwjz,7fS708BKUj1zNyejmuZxDb,0gakOwhuH8Xf7JuCgsXhDI,67l1tytshju3Ily8uIAVKH,1TEL6MlSSVLSdhOSddidlJ,4KGG8SrkjwDuil5KAXF3qw,6DO29wBOfESk3C2sScpxZn,7eEdZKfreDKafp0FuLKDET,4JyLFq2mHC8JPFTXHwYPWD,5dXI2NV7X2c4anyLFbQdEX,0.544862144,0.825194917
1829,0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,0.603,0,0.0924,0.303243045,0,0.176,0.471492051,0.504,1,7l3E7lcozEodtVsSTCkcaA,3erpmncBhgjZhc7aghwbJV,6VCeywT4JeawuZOUkQ1okx,34awK00Tgp6KW6jgxiY5mR,1UUj1iScVn6wOXiBSyBhLn,6guyiDNND9FYvncIEEPyQa,0znetZf9bcVN1xjAhQ00LH,6MWtB6iiXyIwun0YzU6DFP,0z4ER6QkaaARQO61N22xb0,1KGi9sZVMeszgZOWivFpxs,0.634890951,-0.108444525
1830,5Ss6DqCldgTmIo6BekVOJT,0.427,0.623,0.285,0.00278,0.189,0.874259968,0,0.0538,0.673399313,0.343,1,3jq1RpStaB1YGyN3rRZGca,5LTgZiH8bAPVxxEzPRYITs,0JjLP9Wxv0kXwGCLiiVdMm,0DcGiCDxIoImaWyikdUuZT,0rPIMO7sLw5Z3FhSNLTA5Y,6QcrReLyoun4xrPVsZ5OJE,6lzLjIOyWTyTJvk0jraYee,5PNV4Yyi4MTQ3VQh1dlSD7,4cQrSREMqBSvJ8ZzBZjVb8,0mCMjlSkCS0vTEeMX74tcZ,0.57538833,0.515366182
1831,0taM1mwoUfIQrrz3YRJQuM,0.0148,0.586,0.841,0,0.522,0.21454393,1,0.0735,0.491074434,0.55,2,2BgunkkepMPFpArQj1Dx5s,5C8fKmTiPniyenJ0RS5zin,6GqRl2u7LIW93T8Vi5LnXU,7rdK9NSJIRBZAiXC0vuBS9,1fr92Vupmcs2vgLMFVQ7rd,3szbYyYgEBehQG7q0kv5qb,7JK0nPw98vJmgEElMUfg5v,0bGLvHd0ApdT4t0shCfpzG,1BevDaXPEDYfNFTcdu5rfp,4KZAsdL0PeGvmPbSr0hyG4,-0.353308062,-0.378172897
1832,1Y7V7f9mHWm5RDA6BfaQOm,0.00137,0.644,0.905,4.86E-05,0.0698,0.264630377,0,0.118,0.624924258,0.386,1,0BspWxbPFXiuH1HwLm83NK,2APqyT9SjmtQLo1mpGNitN,5ElvxQOgTTUTjVfa1uhhFv,5qEDMy4lkVZ93et8y1VP99,1nufXiTCTTAeJfO9hLHvO8,2TYlNJNjw45KdmKr5Dh2mh,0CokSRCu5hZgPxcZBaEzVE,1okBYMGQjaJ4Hzz1xZfA3N,04QZdz4g1qoDlPscXVXS1I,3yHTTHbT058Ow0favhZO38,0.642797883,-0.310177738
1833,5ElvxQOgTTUTjVfa1uhhFv,0.00193,0.723,0.875,3.70E-05,0.126,0.241158904,0,0.0748,0.591410105,0.435,1,1Y7V7f9mHWm5RDA6BfaQOm,2SClPoLfPJmwrr3EyfgRTS,0BspWxbPFXiuH1HwLm83NK,59pC3ONM6ggVn0CYi0l1KD,5vDue5SQd6u6MSXNBB4bxe,0CokSRCu5hZgPxcZBaEzVE,2APqyT9SjmtQLo1mpGNitN,4Tvw0lweq9l2JPQKFbpbBQ,6lXPxNJVBoIRUitMJZw64Y,1C4z6Ut1O6hfgO96oKVnOw,0.64498659,-0.305578789
1834,4CnBuBzStNaCMuX6UlA7LB,0.132,0.764,0.666,9.46E-06,0.143,0.369308954,1,0.164,0.466716681,0.549,2,3QmOiZF7IzJJkHnahh5Ea0,5lNuqFVMca4vPupY10cH0J,3gIvZFUitwJFtMZq3TWRJx,1louJpMmzEicAn7lzDalPW,6OIJcRL2yycLyIbzrwOUty,6ayCEojiJIe5d8DwXVlGU4,2B3jnZ6tCsVFD4gNXHBJzP,6SEjBjXybgWp4mOkpOQZW4,4Q6tYofKnMSnQl0Q4b9rYj,5cj54CVe4pQZ9cUKgbsZrG,-0.367947194,-0.138750963
1835,637kmONo6eMUOd10n9z4xb,0.0208,0.627,0.896,0,0.0486,0.206213653,1,0.0817,0.673240615,0.461,2,0maGllQEuiHk3UbOBLC05d,0D4yVl9Pn45xW2s63MFCmT,6fIgsZFtGXiIvxb2Y6oCc7,0u695M7KyzXaPIjpEbxOkB,0PypLCGGUBNXqg4139Mg0W,6cPyTS0Kk2sc4xQwC93kOg,2Go8QT5Cw4sCBzq8ZjnZLl,2nGlRyaeE9JF4L4TyAf3uJ,74Ru27B7Jx8mBt5MGvGLLv,7qWAiEPBKSO85XLJDxZ3F8,-0.354933014,-0.392221419
